[2026-06-16 15:47:28] Starting subprocess-based zero-downtime proof simulator with client failover retry...
[2026-06-16 15:47:28] Detected max keys for reads: 1000
[2026-06-16 15:47:28] Entering main simulation loop. Press Ctrl+C to stop.
[2026-06-16 16:01:33] Progress: Ops=27400 | Reads=13700 (Fails=0) | Writes=13700 (Fails=0) | Success Rate=100.00% | Elapsed=845.3s
[2026-06-16 16:01:40] Progress: Ops=27600 | Reads=13800 (Fails=0) | Writes=13800 (Fails=0) | Success Rate=100.00% | Elapsed=852.2s
[2026-06-16 16:01:47] Progress: Ops=27800 | Reads=13900 (Fails=0) | Writes=13900 (Fails=0) | Success Rate=100.00% | Elapsed=859.2s
[2026-06-16 16:01:54] Progress: Ops=28000 | Reads=14000 (Fails=0) | Writes=14000 (Fails=0) | Success Rate=100.00% | Elapsed=866.0s
[2026-06-16 16:02:00] Progress: Ops=28200 | Reads=14100 (Fails=0) | Writes=14100 (Fails=0) | Success Rate=100.00% | Elapsed=872.7s
[2026-06-16 16:02:07] Progress: Ops=28400 | Reads=14200 (Fails=0) | Writes=14200 (Fails=0) | Success Rate=100.00% | Elapsed=879.4s
[2026-06-16 16:02:14] Progress: Ops=28600 | Reads=14300 (Fails=0) | Writes=14300 (Fails=0) | Success Rate=100.00% | Elapsed=886.1s
[2026-06-16 16:02:21] Progress: Ops=28800 | Reads=14400 (Fails=0) | Writes=14400 (Fails=0) | Success Rate=100.00% | Elapsed=892.9s
[2026-06-16 16:02:27] Progress: Ops=29000 | Reads=14500 (Fails=0) | Writes=14500 (Fails=0) | Success Rate=100.00% | Elapsed=899.5s
[2026-06-16 16:02:34] Progress: Ops=29200 | Reads=14600 (Fails=0) | Writes=14600 (Fails=0) | Success Rate=100.00% | Elapsed=906.1s
[2026-06-16 16:02:40] Progress: Ops=29400 | Reads=14700 (Fails=0) | Writes=14700 (Fails=0) | Success Rate=100.00% | Elapsed=912.1s
[2026-06-16 16:02:46] Progress: Ops=29600 | Reads=14800 (Fails=0) | Writes=14800 (Fails=0) | Success Rate=100.00% | Elapsed=918.2s
[2026-06-16 16:02:52] Progress: Ops=29800 | Reads=14900 (Fails=0) | Writes=14900 (Fails=0) | Success Rate=100.00% | Elapsed=924.1s
[2026-06-16 16:02:58] Progress: Ops=30000 | Reads=15000 (Fails=0) | Writes=15000 (Fails=0) | Success Rate=100.00% | Elapsed=930.2s
[2026-06-16 16:03:03] Stop file detected. Exiting loop...
[2026-06-16 16:03:03] === Simulation Finished ===
[2026-06-16 16:03:03] Total Operations: 30184
[2026-06-16 16:03:03] Failed Operations: 0
[2026-06-16 16:03:03] Overall Success Rate: 100.0000%
[2026-06-16 16:03:03] Time Elapsed: 935.73 seconds
